Block (x, y) -> (dx, dy, SAD)
===============================
Block (33, 9) -> (8, 0, 834)
Block (34, 9) -> (0, -8, 0)
Block (45, 9) -> (0, -8, 1112)
Block (46, 9) -> (0, -8, 0)
Block (33, 10) -> (8, 0, 2780)
Block (34, 10) -> (8, -8, 0)
Block (45, 10) -> (0, 8, 3058)
Block (46, 10) -> (8, -8, 0)
Block (33, 11) -> (8, 8, 1807)
Block (34, 11) -> (8, 0, 1112)
Block (35, 11) -> (0, -8, 0)
Block (45, 11) -> (0, 8, 1946)
Block (33, 12) -> (8, 8, 834)
Block (34, 12) -> (8, 0, 2224)
Block (35, 12) -> (8, -8, 0)
Block (45, 12) -> (8, -8, 278)
Block (34, 13) -> (8, 8, 2224)
Block (35, 13) -> (8, -8, 278)
Block (44, 13) -> (0, 8, 1946)
Block (34, 14) -> (8, 8, 1529)
Block (35, 14) -> (8, 8, 1668)
Block (36, 14) -> (0, -8, 0)
Block (44, 14) -> (8, -8, 834)
Block (35, 15) -> (8, 8, 2780)
Block (36, 15) -> (8, -8, 0)
Block (43, 15) -> (0, 8, 2224)
Block (35, 16) -> (8, 8, 1668)
Block (36, 16) -> (8, 0, 1668)
Block (37, 16) -> (0, -8, 0)
Block (43, 16) -> (0, 8, 1112)
Block (36, 17) -> (8, 0, 2502)
Block (37, 17) -> (8, -8, 0)
Block (42, 17) -> (0, 8, 2502)
Block (43, 17) -> (8, -8, 0)
Block (36, 18) -> (8, 8, 1807)
Block (37, 18) -> (8, -8, 834)
Block (42, 18) -> (0, 8, 1668)
Block (36, 19) -> (8, 8, 1112)
Block (37, 19) -> (8, 0, 2085)
Block (38, 19) -> (0, -8, 0)
Block (41, 19) -> (0, 8, 3058)
Block (42, 19) -> (8, -8, 0)
Block (37, 20) -> (8, 8, 2363)
Block (38, 20) -> (8, -8, 139)
Block (41, 20) -> (0, 8, 1946)
Block (37, 21) -> (8, 0, 2224)
Block (38, 21) -> (8, 0, 2085)
Block (39, 21) -> (0, -8, 0)
Block (41, 21) -> (8, -8, 278)
Block (38, 22) -> (8, 0, 4367)
Block (39, 22) -> (-8, 0, 2327)
Block (38, 23) -> (8, 8, 1836)
Block (39, 23) -> (0, 8, 3468)
Block (40, 23) -> (8, 0, 816)
Block (31, 24) -> (0, -8, 0)
Block (39, 24) -> (8, -8, 4488)
Block (31, 25) -> (8, 0, 1020)
Block (32, 25) -> (0, -8, 0)
Block (39, 25) -> (8, -8, 6528)
Block (47, 25) -> (0, -8, 1020)
Block (31, 26) -> (8, 0, 1020)
Block (32, 26) -> (8, 0, 204)
Block (33, 26) -> (0, -8, 0)
Block (39, 26) -> (8, -8, 6528)
Block (31, 27) -> (8, 0, 408)
Block (32, 27) -> (8, 0, 1020)
Block (33, 27) -> (8, 0, 0)
Block (34, 27) -> (0, -8, 0)
Block (39, 27) -> (8, -8, 6528)
Block (32, 28) -> (8, 0, 612)
Block (33, 28) -> (8, 0, 816)
Block (34, 28) -> (8, -8, 0)
Block (39, 28) -> (8, -8, 6528)
Block (46, 28) -> (8, -8, 0)
Block (33, 29) -> (8, 0, 612)
Block (34, 29) -> (8, 0, 612)
Block (35, 29) -> (0, -8, 0)
Block (39, 29) -> (8, -8, 6528)
Block (34, 30) -> (8, 0, 816)
Block (35, 30) -> (8, 0, 204)
Block (36, 30) -> (0, -8, 0)
Block (39, 30) -> (8, -8, 6528)
Block (34, 31) -> (8, 0, 408)
Block (35, 31) -> (8, 0, 816)
Block (36, 31) -> (8, -8, 0)
Block (39, 31) -> (8, -8, 6528)
Block (35, 32) -> (8, 0, 816)
Block (36, 32) -> (8, 0, 816)
Block (37, 32) -> (0, -8, 0)
Block (39, 32) -> (-8, 8, 4896)
Block (43, 32) -> (8, -8, 204)
Block (36, 33) -> (8, 0, 612)
Block (37, 33) -> (8, 0, 612)
Block (38, 33) -> (-8, 8, 1428)
Block (39, 33) -> (-8, 0, 4896)
Block (36, 34) -> (8, 0, 204)
Block (37, 34) -> (8, 0, 612)
Block (38, 34) -> (-8, 0, 1836)
Block (39, 34) -> (8, 8, 4080)
Block (37, 35) -> (8, 0, 612)
Block (38, 35) -> (8, 0, 4284)
Block (39, 35) -> (8, 8, 4080)
Block (37, 36) -> (0, -8, 0)
Block (38, 36) -> (0, -8, 2856)
Block (39, 36) -> (8, 8, 1428)
Block (40, 36) -> (8, -8, 816)
Block (41, 36) -> (0, -8, 0)
Block (35, 37) -> (0, -8, 204)
Block (36, 37) -> (-8, 0, 1632)
Block (37, 37) -> (-8, 0, 2040)
Block (40, 37) -> (0, -8, 4692)
Block (41, 37) -> (-8, -8, 1632)
Block (42, 37) -> (0, -8, 0)
Block (43, 37) -> (0, -8, 0)
Block (34, 38) -> (8, -8, 204)
Block (35, 38) -> (8, -8, 1428)
Block (42, 38) -> (0, -8, 1224)
Block (43, 38) -> (0, -8, 204)
Block (44, 38) -> (0, -8, 0)
Block (43, 39) -> (0, -8, 612)
Block (44, 39) -> (8, 0, 408)
Block (45, 39) -> (0, -8, 0)
Block (44, 40) -> (8, 0, 1224)
Block (45, 40) -> (8, -8, 408)
Block (32, 41) -> (0, 8, 816)
Block (45, 41) -> (8, 8, 816)
Block (46, 41) -> (0, -8, 0)
Block (32, 42) -> (8, -8, 1632)
Block (46, 42) -> (8, -8, 0)
Block (32, 43) -> (8, -8, 0)
Block (46, 43) -> (8, -8, 0)
Block (32, 44) -> (8, -8, 0)
Block (46, 44) -> (8, -8, 0)
Block (32, 45) -> (8, -8, 204)
Block (45, 45) -> (0, 8, 612)
